A magyar labdarúgó-válogatott hivatalos mérkőzései
ssz	dátum	típus	hazai csapat	vendég csapat	gólok száma (hazai)	gólok száma (vendég)	helyszín
1	1902.10.12	barátságos	Ausztria	Magyarország	5	0	Bécs
2	1903.04.05	barátságos	Magyarország	Bohémia	2	1	Budapest
3	1903.06.11	barátságos	Magyarország	Ausztria	3	2	Budapest
4	1903.10.11	barátságos	Ausztria	Magyarország	4	2	Bécs
5	1904.06.02	barátságos	Magyarország	Ausztria	3	0	Budapest
6	1904.10.09	barátságos	Ausztria	Magyarország	5	4	Bécs
7	1905.04.09	barátságos	Magyarország	Ausztria	0	0	Budapest
8	1906.04.01	barátságos	Magyarország	Bohémia	1	1	Budapest
9	1906.10.07	barátságos	Bohémia	Magyarország	4	4	Prága
10	1906.11.04	barátságos	Magyarország	Ausztria	3	1	Budapest
11	1907.04.07	barátságos	Magyarország	Bohémia	5	2	Budapest
12	1907.05.05	barátságos	Ausztria	Magyarország	3	1	Bécs
13	1907.10.06	barátságos	Bohémia	Magyarország	5	3	Prága
14	1907.11.03	barátságos	Magyarország	Ausztria	4	1	Budapest
15	1908.04.05	barátságos	Magyarország	Bohémia	5	2	Budapest
16	1908.05.03	barátságos	Ausztria	Magyarország	4	0	Bécs
17	1908.06.10	barátságos	Magyarország	Anglia	0	7	Budapest
18	1908.11.01	barátságos	Magyarország	Ausztria	5	3	Budapest
19	1909.04.04	barátságos	Magyarország	Németország	3	3	Budapest
20	1909.05.02	barátságos	Ausztria	Magyarország	3	4	Bécs
21	1909.05.29	barátságos	Magyarország	Anglia	2	4	Budapest
22	1909.05.30	barátságos	Magyarország	Ausztria	1	1	Budapest
23	1909.05.31	barátságos	Magyarország	Anglia	2	8	Budapest
24	1909.11.07	barátságos	Magyarország	Ausztria	2	2	Budapest
25	1910.05.01	barátságos	Ausztria	Magyarország	2	1	Bécs
26	1910.05.26	barátságos	Magyarország	Olaszország	6	1	Budapest
27	1910.11.06	barátságos	Magyarország	Ausztria	3	0	Budapest
28	1911.01.01	barátságos	Franciaország	Magyarország	0	3	Charentonneau
29	1911.01.06	barátságos	Olaszország	Magyarország	0	1	Milánó
30	1911.01.08	barátságos	Svájc	Magyarország	2	0	Zürich
31	1911.05.07	barátságos	Ausztria	Magyarország	3	1	Bécs
32	1911.10.29	barátságos	Magyarország	Svájc	9	0	Budapest
33	1911.11.05	Wagner-serleg	Magyarország	Ausztria	2	0	Budapest
34	1911.12.17	barátságos	Németország	Magyarország	1	4	München
35	1912.04.14	barátságos	Magyarország	Németország	4	4	Budapest
36	1912.05.05	Wagner-serleg	Ausztria	Magyarország	1	1	Bécs
37	1912.06.20	barátságos	Svédország	Magyarország	2	2	Göteborg
38	1912.06.23	barátságos	Norvégia	Magyarország	0	6	Kristiania
